fid,field_1,Admin1,Facility_name,Facility_type,Ownership,Latitude,Longitude,LL_source,Sub County,Ward,Level,Operating time,Total In-patient beds,General In-patient beds,Cots,Maternity beds,Emergency casualty bedsc,Intensive Care Unit beds,High Dependency Unit beds,Isolation beds,General theatres,Maternity theatres,Accident and Emergency Casualty Services,Ambulatory Services,Antenatal Care,Blood Services,Cancer Screening,Central Sterile Services Department,Curative Services,Dental services,Emergency Preparedness,Family Planning,Forensic Services,High Dependency Services,HIV/AIDs Prevention And Care Services,ICU Services,Immunisation,Inpatient Services,Integrated Immunization,Integrated Management Of Childhood Illness,Laboratory Services,Leprosy treatment,Maternity Services,Mental Health Services,Mortuary Services,Newborn Care Services,Nutrition Services,Occupational Therapy,Oncology Services,Opthalmic Services,Orthopaedic Technology Services,Pharmacy Services,Physiotherapy,Postnatal Care Services,Radiology and Imaging,Rehabilitation Services,Renal Services,Services For Gender Based Violence Survivors,Specialized In-Patient Services,Specialised Outpatient care,Theatre Services,Tuberculosis Diagnosis and Treatments,Youth Friendly Services
203,Kenya,Nairobi,Movement Of Men Against AIDS Of Kenya,VCT,Non-Governmental Organization,-1.28756,36.87474,KMHFR,Makadara,Harambee,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
235,Kenya,Nairobi,Debomart Medical Clinic,Medical Clinic,Private Practice,-1.29165,36.85532,KMHFR,Makadara,Maringo/Hamza,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
459,Kenya,Nairobi,Dan Pharmacy Ltd (Kangemi),Pharmacy,Private Practice,-1.2646,36.74931,KMHFR,Kangemi,Westlands,3,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
1047,Kenya,Nairobi,Amref Medical Centre (Wilson Airport),Medical Clinic,Private Practice,-1.31681,36.8135,KMHFR,Lang'ata,Nairobi West,2,24 hours,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
717,Kenya,Nairobi,Umoja Iii Medical Centre(Njiru),Medical Clinic,Private Practice,-1.27424,36.8895,KMHFR,Embakasi West,Mowlem,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
1034,Kenya,Nairobi,Catholic University Dispensary,Dispensary,Faith Based Organization,-1.34977,36.75649,KMHFR,Lang'ata,Karen,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
327,Kenya,Nairobi,Baraka Medical Centre,Medical Center,Private Practice,-1.25964,36.86046,KMHFR,kasarani,kasarani,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
988,Kenya,Nairobi,Lindi Community Dispensary,Dispensary,Ministry of Health,-1.31331,36.79096,KMHFR,Kibra,Lindi,2,24 hours,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
619,Kenya,Nairobi,Kariobangi Edarp,Dispensary,Faith Based Organization,-1.25923,36.87954,KMHFR,Embakasi North,Kariobangi North,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
894,Kenya,Nairobi,Providence Whole Care,Medical Clinic,Private Practice,-1.30219,36.7415,KMHFR,Dagoretti South,Ngando,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
353,Kenya,Nairobi,Lvct Korogocho,VCT,Non-Governmental Organization,-1.25119,36.88898,KMHFR,Korogocho,Ruaraka,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
391,Kenya,Nairobi,Babadogo (EDARP),VCT,Faith Based Organization,-1.23916,36.8864,KMHFR,Babadogo,Ruaraka,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
165,Kenya,Nairobi,Corner Hse Med Lab,Laboratory,Private Practice,-1.28503,36.82424,KMHFR,Starehe,Nairobi Central,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
482,Kenya,Nairobi,Tel-Aviv Medical Centre,Medical Clinic,Private Practice,-1.28517,36.95577,KMHFR,Embakasi East,Mihango,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
381,Kenya,Nairobi,Kenya Utalii Dispensary,Dispensary,Private Practice,-1.25087,36.8617,KMHFR,Utalii,Ruaraka,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
146,Kenya,Nairobi,Nairobi Outpatient Gulf Limited,Medical Center,Private Practice,-1.28527,36.82131,KMHFR,Starehe,Nairobi Central,3,24 hours,0,0,0,0,1,0,0,0,0,0,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
513,Kenya,Nairobi,Mwatate Healthcare Centre,Basic Health Centre,Non-Governmental Organization,-1.31948,36.89117,KMHFR,Embakasi East,Embakasi,3,24 hours + Weekends,3,0,2,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No
197,Kenya,Nairobi,Buruburu Health Centre,Basic Health Centre,Private Practice,-1.2795,36.87765,KMHFR,Makadara,Harambee,3,24 hours,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
326,Kenya,Nairobi,Thika Road Health Services Ltd (Kasarani),Medical Center,Private Practice,-1.2242,36.88656,KMHFR,kasarani,kasarani,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
463,Kenya,Nairobi,Marie Stopes Clinic (Kangemi),Medical Clinic,Non-Governmental Organization,-1.26584,36.7511,KMHFR,Kangemi,Westlands,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
840,Kenya,Nairobi,City Eye Hospital (Dagoretti),Primary Care Hospital,Private Practice,-1.29344,36.80771,KMHFR,Dagoretti North,Kilimani,4,24 hours,4,0,4,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
826,Kenya,Nairobi,Nairobi Emergency Operation Centre,Dispensary,Ministry of Health,-1.27304,36.8102,KMHFR,Dagoretti North,Kilimani,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
71,Kenya,Nairobi,Primeways Medical Center Limited,Medical Center,Private Practice,-1.3095,36.83349,KMHFR,Starehe,Nairobi South,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
822,Kenya,Nairobi,Kawangware Health Centre,Basic Health Centre,Private Practice,-1.2873,36.74919,KMHFR,Dagoretti North,Kawangware,3,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
120,Kenya,Nairobi,Jass Medical Clinic,Medical Clinic,Private Practice,-1.26736,36.83766,KMHFR,Starehe,Pangani,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
474,Kenya,Nairobi,Equity Afya Chokaa,Medical Center,Private Practice,-1.25572,36.96165,KMHFR,Embakasi East,Mihango,3,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
6,Kenya,Nairobi,City Point Medical Centre,Medical Clinic,Private Practice,-1.27879,36.84897,KMHFR,Kamukunji,California,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
143,Kenya,Nairobi,Maisha House VCT (Noset),VCT,Non-Governmental Organization,-1.2764,36.82405,KMHFR,Starehe,Ngara,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
695,Kenya,Nairobi,St Luke Upstate Medical Clinic,Medical Clinic,Private Practice,-1.26215,36.88454,KMHFR,Embakasi West,Kariobangi South,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
981,Kenya,Nairobi,Makina Clinic,Medical Clinic,Private Practice,-1.30868,36.78485,KMHFR,Kibra,Makina,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
603,Kenya,Nairobi,Samaritan Medical Services,Basic Health Centre,Non-Governmental Organization,-1.24241,36.912,KMHFR,Embakasi North,Dandora Area Iv,3,24 hours + Weekends,24,0,1,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
730,Kenya,Nairobi,Lloycare Medical Services,Medical Clinic,Private Practice,-1.27899,36.88792,KMHFR,Embakasi West,Umoja I,2,24 hours,0,0,0,1,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
924,Kenya,Nairobi,Equity Afia Ngong Road,Medical Center,Private Practice,-1.30015,36.7847,KMHFR,Kibra,Woodley/Kenyatta Golf Course,3,24 hours,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
673,Kenya,Nairobi,Lea Toto Community Mukuru Reuben,Dispensary,Faith Based Organization,-1.31595,36.86917,KMHFR,Embakasi South,Kwa Reuben,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
696,Kenya,Nairobi,Kariobangi South Dispensary,Dispensary,Ministry of Health,-1.26826,36.88294,KMHFR,Embakasi West,Kariobangi South,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
68,Kenya,Nairobi,Medpearl South Hospital Limited,Medical Center,Private Practice,-1.31142,36.83688,KMHFR,Starehe,Nairobi South,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
126,Kenya,Nairobi,Crescent Medical Aid (Pangani),Medical Clinic,Non-Governmental Organization,-1.26636,36.83801,KMHFR,Starehe,Pangani,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
859,Kenya,Nairobi,Chandaria Health Centre,Basic Health Centre,Ministry of Health,-1.27396,36.69119,KMHFR,Dagoretti South,Uthiru/Ruthimitu,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
243,Kenya,Nairobi,Juhudi Clinic,Medical Clinic,Private Practice,-1.2956,36.8499,KMHFR,Makadara,Maringo/Hamza,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,Kenya,Nairobi,ParkRoad Dental Clinic,Medical Clinic,Private Practice,-1.27339,36.8319,KMHFR,Starehe,Ngara,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,Kenya,Nairobi,Tahcare Medical & Dental Centre Limited,Medical Clinic,Private Practice,-1.27085,36.84695,KMHFR,Kamukunji,Estleigh North,2,24 hours,0,1,0,0,0,0,0,0,0,0,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
1105,Kenya,Nairobi,Westlands Hospital,Primary Care Hospital,Ministry of Health,-1.25785,36.79888,KMHFR,Westlands,Parklands,3,24 hours,20,0,0,20,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1115,Kenya,Nairobi,Figo Care Plus (K) Limited,Medical Clinic,Private Practice,-1.26248,36.8223,KMHFR,Westlands,Parklands,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
913,Kenya,Nairobi,Cancer Care International,Medical Center,Private Practice,-1.3009,36.78496,KMHFR,Kibra,Woodley/Kenyatta Golf Course,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
964,Kenya,Nairobi,Ushirika Medical Clinic,Medical Clinic,Private Practice,-1.30777,36.77276,KMHFR,Kibra,Sarang'ombe,2,24 hours,18,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
838,Kenya,Nairobi,Healing Tree Eye and Laser Hospital,Primary Care Hospital,Private Practice,-1.27867,36.78543,KMHFR,Dagoretti North,Kilimani,4,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
178,Kenya,Nairobi,Kiamaiko Dispensary,Dispensary,Ministry of Health,-1.2571,36.87263,KMHFR,Mathare,Kiamaiko,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
781,Kenya,Nairobi,Josmed Clinic,Medical Clinic,Private Practice,-1.25528,36.72283,KMHFR,Westlands,Kitisuru,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
552,Kenya,Nairobi,Waikiki Health Services,Medical Clinic,Private Practice,-1.33701,36.89329,KMHFR,Embakasi East,Embakasi,2,24 hours + Weekends,3,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
910,Kenya,Nairobi,Aj Plastic Surgery Specialized Treatment Centre,Medical Center,Private Practice,-1.3004,36.78252,KMHFR,Kibra,Woodley/Kenyatta Golf Course,4,24 hours,10,0,0,0,0,0,0,0,1,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,Kenya,Nairobi,Starehe Healthcare Limited,Medical Clinic,Private Practice,-1.28162,36.84805,KMHFR,Kamukunji,California,3,24 hours,12,0,4,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
845,Kenya,Nairobi,Avenue Health Limited -Junction Mall,Medical Center,Private Practice,-1.28687,36.75409,KMHFR,Dagoretti North,Kilimani,3,24 hours,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
942,Kenya,Nairobi,Family Health Medical Dispensary,Medical Clinic,Non-Governmental Organization,-1.30366,36.7977,KMHFR,Kibra,Woodley/Kenyatta Golf Course,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
352,Kenya,Nairobi,Provide International Korogocho,Basic Health Centre,Faith Based Organization,-1.24976,36.87151,KMHFR,Korogocho,Ruaraka,3,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
774,Kenya,Nairobi,Lvct Health Kibagare,VCT,Non-Governmental Organization,-1.25938,36.75699,KMHFR,Westlands,Kitisuru,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
186,Kenya,Nairobi,Villa Medical Centre,Medical Clinic,Private Practice,-1.26101,36.86106,KMHFR,Mathare,Mabatini,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
770,Kenya,Nairobi,Githiga Midways Clinic,Medical Clinic,Private Practice,-1.22163,36.79809,KMHFR,Westlands,Karura,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,Kenya,Nairobi,Metropolitan Dr Plaza,Medical Clinic,Private Practice,-1.28798,36.87477,KMHFR,Makadara,Harambee,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
708,Kenya,Nairobi,Mwangaza Regional Medical Center Limited,Medical Clinic,Private Practice,-1.26415,36.90114,KMHFR,Embakasi West,Mowlem,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
330,Kenya,Nairobi,Loreigns Medical Services,Medical Center,Private Practice,-1.21862,36.89581,KMHFR,kasarani,kasarani,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
